49.16	50
16.9387	0.00	0
16.9402	0.00	0
16.9417	0.00	0
16.9433	0.00	0
16.9448	0.00	0
16.9463	0.00	0
16.9478	0.00	0
16.9493	0.00	0
16.9509	0.00	0
16.9524	0.00	0
16.9539	0.00	0
16.9554	0.00	0
16.9569	0.00	0
16.9584	0.00	0
16.9600	0.00	0
16.9615	0.00	0
16.9630	0.00	0
16.9645	0.00	0
16.9660	0.00	0
16.9675	0.00	0
16.9690	0.00	0
16.9706	0.00	0
16.9721	0.00	0
16.9736	0.00	0
16.9751	0.00	0
16.9766	0.00	0
16.9781	0.00	0
16.9797	0.00	0
16.9812	0.00	0
16.9827	0.00	0
16.9842	0.00	0
16.9857	0.00	0
16.9873	0.00	0
16.9888	0.00	0
16.9903	0.00	0
16.9918	0.00	0
16.9933	0.00	0
16.9948	0.00	0
16.9963	0.00	0
16.9979	0.00	0
16.9994	0.00	0
17.0009	0.00	0
17.0024	0.00	0
17.0039	0.00	0
17.0054	0.00	0
17.0069	0.00	0
17.0084	0.00	0
17.0099	0.00	0
17.0114	0.00	0
17.0129	0.00	0
17.0144	0.00	0
17.0159	0.00	0
17.0174	0.00	0
17.0189	0.00	0
17.0205	0.00	0
17.0220	0.00	0
17.0235	0.00	0
17.0250	0.00	0
17.0265	0.00	0
17.0280	0.00	0
17.0295	0.00	0
17.0310	0.00	0
17.0325	0.00	0
17.0340	0.00	0
17.0355	0.00	0
17.0370	0.00	0
17.0385	0.00	0
17.0401	0.00	0
17.0416	0.00	0
17.0431	0.00	0
17.0446	0.00	0
17.0461	0.00	0
17.0476	0.00	0
17.0492	0.00	0
17.0507	0.00	0
17.0522	0.00	0
17.0537	0.00	0
17.0552	0.00	0
17.0567	0.00	0
17.0582	0.00	0
17.0597	0.00	0
17.0613	0.00	0
17.0628	0.00	0
17.0643	0.00	0
17.0658	0.00	0
17.0673	0.00	0
17.0688	0.00	0
17.0703	0.00	0
17.0718	0.00	0
17.0733	0.00	0
17.0749	0.00	0
17.0764	0.00	0
17.0779	0.00	0
17.0794	0.00	0
17.0809	0.00	0
17.0824	0.00	0
17.0839	0.00	0
17.0854	0.00	0
17.0870	0.00	0
17.0885	0.00	0
17.0900	0.00	0
17.0915	0.00	0
17.0930	0.00	0
17.0945	0.00	0
17.0960	0.00	0
17.0975	0.00	0
17.0990	0.00	0
17.1005	0.00	0
17.1020	0.00	0
17.1035	0.00	0
17.1050	0.00	0
17.1065	0.00	0
17.1080	0.00	0
17.1096	0.00	0
17.1111	0.00	0
17.1126	0.00	0
17.1141	0.00	0
17.1156	0.00	0
17.1172	0.00	0
17.1187	0.00	0
17.1202	0.00	0
17.1217	0.00	0
17.1232	0.00	0
17.1248	0.00	0
17.1263	0.00	0
17.1278	0.00	0
17.1293	0.00	0
17.1308	0.00	0
17.1324	0.00	0
17.1339	0.00	0
17.1354	0.00	0
17.1369	0.00	0
17.1384	0.00	0
17.1400	0.00	0
17.1415	0.00	0
17.1430	0.00	0
17.1445	0.00	0
17.1460	0.00	0
17.1476	0.00	0
17.1491	0.00	0
17.1506	0.00	0
17.1521	0.00	0
17.1536	0.00	0
17.1552	0.00	0
17.1567	0.00	0
17.1582	0.00	0
17.1597	0.00	0
17.1612	0.00	0
17.1628	0.00	0
17.1643	0.00	0
17.1658	0.00	0
17.1673	0.00	0
17.1688	0.00	0
17.1703	0.00	0
17.1719	0.00	0
17.1734	0.00	0
17.1749	0.00	0
17.1764	0.00	0
17.1779	0.00	0
17.1794	0.00	0
17.1810	0.00	0
17.1825	0.00	0
17.1840	0.00	0
17.1855	0.00	0
17.1870	0.00	0
17.1885	0.00	0
17.1901	0.00	0
17.1916	0.00	0
17.1931	0.00	0
17.1946	0.00	0
17.1961	0.00	0
17.1977	0.00	0
17.1992	0.00	0
17.2007	0.00	0
17.2022	0.00	0
17.2037	0.00	0
17.2052	0.00	0
17.2068	0.00	0
17.2083	0.00	0
17.2098	0.00	0
17.2113	0.00	0
17.2128	0.00	0
17.2144	0.00	0
17.2159	0.00	0
17.2174	0.00	0
17.2189	0.00	0
17.2205	0.00	0
17.2220	0.00	0
17.2235	0.00	0
17.2250	0.00	0
17.2265	0.00	0
17.2280	0.00	0
17.2296	0.00	0
17.2311	0.00	0
17.2326	0.00	0
17.2341	0.00	0
17.2356	0.00	0
17.2372	0.00	0
17.2387	0.00	0
17.2402	0.00	0
17.2417	0.00	0
17.2432	0.00	0
17.2448	0.00	0
17.2463	0.00	0
17.2478	0.00	0
17.2493	0.00	0
17.2509	0.00	0
17.2524	0.00	0
17.2539	0.00	0
17.2554	0.00	0
17.2569	0.00	0
17.2584	0.00	0
17.2600	0.00	0
17.2615	0.00	0
17.2630	0.00	0
17.2645	0.00	0
17.2660	0.00	0
17.2675	0.00	0
17.2691	0.00	0
17.2706	0.00	0
17.2721	0.00	0
17.2736	0.00	0
17.2751	0.00	0
17.2767	0.00	0
17.2782	0.00	0
17.2797	0.00	0
17.2812	0.00	0
17.2827	0.00	0
17.2843	0.00	0
17.2858	0.00	0
17.2873	0.00	0
17.2888	0.00	0
17.2903	0.00	0
17.2918	0.00	0
17.2934	0.00	0
17.2949	0.00	0
17.2964	0.00	0
17.2979	0.00	0
17.2994	0.00	0
17.3009	0.00	0
17.3024	0.00	0
17.3040	0.00	0
17.3055	0.00	0
17.3070	0.00	0
17.3085	0.00	0
17.3100	0.00	0
17.3115	0.00	0
17.3130	0.00	0
17.3146	0.00	0
17.3161	0.00	0
17.3176	0.00	0
17.3192	0.00	0
17.3207	0.00	0
17.3222	0.00	0
17.3237	0.00	0
17.3253	0.00	0
17.3268	0.00	0
17.3283	0.00	0
17.3298	0.00	0
17.3314	0.00	0
17.3329	0.00	0
17.3344	0.00	0
17.3359	0.00	0
17.3374	0.00	0
17.3390	0.00	0
17.3405	0.00	0
17.3420	0.00	0
17.3435	0.00	0
17.3450	0.00	0
17.3465	0.00	0
17.3480	0.00	0
17.3495	0.00	0
17.3511	0.00	0
17.3526	0.00	0
17.3541	0.00	0
17.3556	0.00	0
17.3571	0.00	0
17.3587	0.00	0
17.3602	0.00	0
17.3617	0.00	0
17.3633	0.00	0
17.3648	0.00	0
17.3663	0.00	0
17.3678	0.00	0
17.3693	0.00	0
17.3708	0.00	0
17.3724	0.00	0
17.3739	0.00	0
17.3754	0.00	0
17.3769	0.00	0
17.3784	0.00	0
17.3800	0.00	0
17.3815	0.00	0
17.3830	0.00	0
17.3845	0.00	0
17.3860	0.00	0
17.3875	0.00	0
17.3891	0.00	0
17.3906	0.00	0
17.3921	0.00	0
